Username,Comment,Date
t*****n,"Effectiveness:Sangat baik
Skin Suitability:Sangat sesuai

Saje try kawan punya dulu pastu hasil dia mmg surut jerawat tu. Then saya beli la untuk diri sendiri alang2 ade promo kan... packaging dia boek 😂 walaupun barang nya satu aje HAHAHA",2023-12-29
f*****n,Item received in good condition. Fast delivery! And got free samples Oxy face wash. Thanksss!,2023-08-29
m*****r,"Barang kemek takde kotak. Sunblock best sebab bagi muka lembap but for me berminyak muka sebab saya oily. Patch first time nak try, sebelum ni pakai day and night okay la, sebab dia tak jadikan parut bila tumbuh jerawat. Sunblock for me best sebab milk but tetap jadi oily kat saya. Fast shipping.",2021-03-08
nurmyra2,"Fast delivery from J&T 📦 🚚💨 Barang sampai dalam keadaan baik, thank you seller 🌸",2023-08-29
zee_96,"Skin Suitability:Great
Effectiveness:Great

Received all items correctly in good condition.",2023-08-29
hani.nisa.92,"Skin Suitability:okay
Effectiveness:tak try lagi

Size comel.. dapat picker cute.. 
Thank you 😊😊",2023-09-01
s*****g,"Effectiveness:works ok
Skin Suitability:acne

Very pricey. Works ok. Long expiry date till 2028. Seller packed well and ships fast.",2023-11-12
j*****1,Pretty quick delivery and very well packed. Although thinking maybe it is less environmental friendly to use so much bubble wrap for such small items...,2023-08-29
peii1616,Received everything in good condition. Expiry date is far away too. Very effective product in curing acne/pimples.,2023-08-29
ohvld184q3,"Ordered on 03/12, seller shipped out on 04/12, received the parcel on 05/12. Very fast shipment from the seller, all item received in goods condition as shown in the photo.",2023-08-31
a*****m,Penghantaran pantas. Barang pun sampai dalam keadaan baik. Berkesan untuk prevent jerawat,2023-08-29
z*****g,Good packaging and fast delivery! Great deal bought on 8.8. Thanks!,2023-08-29
nvd_igd9bg,"Acne patch received as per order 

Product was pack nicely

Fast delivery",2023-08-26
s*****a,"Skin Suitability:good
Effectiveness:good

fast delivery and good to use 👍🏻 吸油力强 适合要熟的小痘痘 晚上用了 早上就熟了不少",2023-08-31
asyikeenkuazizan,"pembungkusan yang kemas 
harga yang baik 
sesuai sangat utk kecutkan jerawat 
tq seller",2023-09-01
d*****y,fast delivery. semua barang elok jaaa. tkde rosak pun. wrapped pun tebal. thankyouu.,2023-08-29
nuna1z,Very fast delivery takes only 2 days. Item arrived in best condition👍,2023-08-29
m*****n,item received in good condition. packed in box. delivery OK.,2023-08-29
f*****7,"Barang sampai dalam keadaan very secure ye. Acne patch ni mmg fav i dari dulu, sgt berkesan. I dapat beli time sale 60 sen je. Berganda murah dari harga asal hehe",2024-03-20
k*****o,"Skin Suitability:Good
Effectiveness:good

I beli time sale 11/11 haritu, dapat murah plus tolak dengan coin yang i ada lagi murah! Thank you so much seller! 🥰",2023-11-15
rabbiyahtul,"Effectiveness:jerawat cepat kecut
Skin Suitability:okey harga pun murah

Tq seller barang murah ...bagus dan terbaik",2023-12-27
s*****1,"Effectiveness:not try yet
Skin Suitability:hopefully its work on my acne

Fast delivery & item came along with the bubble wrapped",2024-01-03
k*****g,Order received in excellent condition. Bought with voucher at a price much cheaper than at stores.,2023-08-17
s*****9,FAST DELIVERY FAST DELIVERY FAST DELIVERY FAST DELIVERY FAST DELIVERY.Ship out yesterday and receive today.The items are wrapped nicely. Thank you seller,2023-08-29
xinhui_1311,"Good protection (bubble wrap)
Fast delivery 🚚 📦 
Good value for money💰 ",2023-08-29
s*****g,"Effectiveness:ok
Skin Suitability:good

Took 5days to receive.. goods received in good condition with long  validation..",2023-10-17
swaggyyy,"Skin Suitability:Good
Effectiveness:Excellent

Dh pakai mmg cpt jer hilang jerawat..pakai satu bila bukak terus hilang jerawat...lagi2 yg jerawat ada mata..good",2023-08-29
a*****c,"Skin Suitability:Okay
Effectiveness:okay

Should be improved packing well with bubble wrap inside the box before shipping",2023-08-29
c*****5,Received in good condition and the expiry date also very long. Worth to buy. Second time buying from this seller. ,2023-08-29
b*****8,"Effectiveness:good
Skin Suitability:good

Acne patch terhebat. Penyelamat untuk sorokkan acne. 🩷🩷",2023-11-30
s*****4,"Effectiveness:good
Skin Suitability:good

Very good for pimple skin. Recover pimple wounds very fast and efficient. Grab many from promotion nice product",2023-11-14
akimoto12,"Skin Suitability:very good
Effectiveness:very suitable for me

this works really well on my popped acne.",2023-08-31
nurulsyazatulain,"Skin Suitability:suitable my skin
Effectiveness:great

The best acne patch ever!!! The item sampai dlm kotak so ni worries sebab tak ada any defect pun",2023-08-29
q*****7,"Tq seller, barang okeyy sangat, abg j&t tk pernah mengecewakan, tqqq saya beli yea",2023-08-31
muhammad_aqma,"Skin Suitability:jerawat dan berminyak
Effectiveness:jerawat semakin mengecut

Compare brand Wat***, ni lagi effective dan best nak pakai, sebab patch dia melekat betul.",2024-03-18
a*****6,Delivery takes a little longer time but at least the products reached in correct amount,2023-08-29
wa_mochi,Kotak kemek mesti time delivery jadi mcm tu walaupun dh bubble wrap tapi takpe yang penting isi nya selamat hehehe. Thank you seller! ,2023-08-29
l*****3,"Very secure packaging 📦 
Quite fast shipping and delivery 🚚 
Good quality products 👍🏻",2024-01-03
m*****0,"Effectiveness:Absorption of oil is fast, can prevent infection too

Super fast delivery, received within 2 days. With good packaging as well.",2023-12-06
dahliadezy,Item is well wrapped & received in good condition.. fast delivery too.. good quality product..will buy again in future.. thank you,2024-02-05
wawawax_aisy,Kali kedua beli dengan seller ni. Semua ok. Brg pun ok n betul. Cuma seller pos lambat mungkin sbb 11.11 sale ritu. Tp x apa sbb x rushing n harga murah. Seller pun very responsive bila tnya kenapa x ship out lg. Trusted seller. N will repeat soon. Tq,2023-08-29
s*****7,"Fast delivery! Thanks seller for wrapping the items in secured packaging, everything received in good condition ",2023-08-29
5fusm8tnw5xkfr1i1yig94s0epku,"Good value for money,fast delivery,good quality and excellent service from seller",2023-08-29
a*****c,Received in good condition and fast delivery and packing well before shipping,2023-08-29
j*****9,Good product quality and fast delivery from seller. Excellent service by seller. ,2023-08-29
a*****_,"Skin Suitability:okay

Received in good condition and packing well before shipping fast delivery",2023-08-31
s*****a,"Fast delivery , good wrapping, expired date 2026, cheapest price .",2023-08-29
p*****1,"Effectiveness:nice and easy to use
Skin Suitability:any

Fast delivery. Item nicely packed. Nice and easy to use.",2023-08-29
noakoyo,Delivery very fast. Packing is good. The product is good like to use it. Good service!!!!!,2023-11-28
yvonne460,"Effectiveness:good

Quite fast delivery and things packed in good condition, thanks.",2023-11-17
n*****n,"Postage padu
Laju saja 
Sehari sampai thanks...
Barang memang kualiti teruks. 
Recommended
Postage padu
Laju saja 
Sehari sampai thanks...
Barang memang kualiti teruks. 
Recommended",2023-08-29
lingcaroline895,"Skin Suitability:nice
Effectiveness:effective

fast delivery...product is nice and effective for acne☺️☺️",2023-11-22
nornabilahyusof,Thank you seller.. barang dh smpai mmg torbaikkkkk.. kita borang laa sekali bnyak.. hahahahha.. geram kita tngok.. harga takde laa murah mana tapi ok laa kalau nak bandingkan dgn kat kedai.. pnghntaran pon tiptop.. trbaikkk,2023-08-31
t*****8,"Effectiveness:not sure
Skin Suitability:not sure

Well packed and fast delivered. Good deal with seller promotion.",2023-12-15
m*****a,Parcel sampai dlm keadaan baik. Thank you seller!!! Penghantaran pantas.,2023-08-29
asyikeenkuazizan,"expired 06/2025
harga sangat baik 
penghantaran cepat gila, 1 hari je
tq seller",2023-08-29
h*****5,"Effectiveness:good
Skin Suitability:good

Fast delivery 🚚
Come with good condition
Thank you seller 😁",2023-11-14
j*****m,Super fast delivery and all items received in good condition,2023-08-29
s*****e,Receive the item in good condition. Very fast delivery. Thank you seller for the excellent service.,2023-08-29
y*****1,"Well packed and received in good condition.
Expired date 05/2028.",2023-11-14
y*****g,"Well packed and received in good condition.
Expired date 11/2027.",2023-08-31
j*****7,"First trying this product recommended by friend
Fast delivery
Good packaging
Accurate product
Long expiry date",2023-08-29
huzairin71,"Effectiveness:good
Skin Suitability:ok

Good deal. Tq seller. Received in good  condition!👍🏻",2023-08-14
l*****9,"Item arrived in very good condition, kudos on the packaging!",2023-08-29
n*****7,Barang dah sampai dalam keadaan baik . Penghantaran pun cepat. Terima kasih😊,2023-08-29
a*****y,"Well packed and received in good condition.
Expired date is 06/2027.",2023-08-29
z*****6,"Good, fast delivery received in the next day in good condition",2024-01-27
dibot_mystery,delivery laju. packaging sangatlah bagus guna kotak shopee dan bubble wrap. ,2023-08-29
nadzirahmustakin,"Penghantaran sangat laju. Order 6/9, 7/9 dah sampai. Terbaik seller 👍🏻👍🏻👍🏻",2023-08-29
w*****y,"All items are in good condition, fast delivery and secure packaging, value price online thank you Oxy seller",2023-08-29
j*****2,Super fast shipping and all items received are in good condition. ,2023-08-29
a*****_,Excellent service by seller good product quality good value for money,2023-08-31
telesk325,Delivery so fast and received in good condition. Thank you seller,2024-03-19
s*****s,Repeat order with the same seller since I've used this product... Excellent service by seller... Fast delivery...,2023-08-29
darwingopal,"Skin Suitability:no itchiness.
Effectiveness:works well

Fast delivery and good packaging in box.",2023-12-12
a*****c,"Skin Suitability:ok to used
Effectiveness:Quality is okay

Received in good condition and packing well with bubble wrap before shipping",2023-08-29
i*****i,"Skin Suitability:So far ok
Effectiveness:good good

Received in a good condition and quite fast delivery too. Thank you seller",2023-08-29
nunajiehah,"Thank you, the parcel is well received. Fast delivery by seller too. Love it so much. Thanks for the gift. The items also have long expiry dates. So it can be used for a long time. Much more cheaper than the other shop too😁",2023-08-29
azmatulakma,"Effectiveness:ok
Skin Suitability:sesuai

penghantaran cepat bungkusan terbaik terima kasih seller",2024-02-15
f*****8,The item received in a good condition plus fast delivery. I love it. ,2023-08-29
a*****c,"Skin Suitability:Okay
Effectiveness:okay

Received in good condition and need to packing well with bubble wrap inside the box before shipping",2023-08-31
sitimey8411,"Effectiveness:good
Skin Suitability:yes

Recommended
Always use this product
So far it's good & effective for the pimple overnite",2024-03-13
k*****o,"Effectiveness:good
Skin Suitability:Good

I dah repeat beli a few times and it really works on me, Thank you so much!",2024-01-23
aimashita26,"Barang sampai awal jgk ... Cuma packaging boleh improve,, balut dgn kotak ke atau balut bubble wrap habis kemik kotak ",2023-08-31
p*****i,"Pernah try jenama lain, alih alih yg ni juga sesuai cepat jerawat masak dan tak mudah tertanggal pastu nipis je. Seller post laju cuma shopee express yg lembab k tu je thankyouu!",2023-08-29
u*****m,"Good good good products , good for the value and fast delivery👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍👍👍👍👍👍👍👍",2023-08-29
