Username,Comment,Date
h*****a,"Skin Suitability:All skin types
Effectiveness:Very effective

Love using oxy patches as it’s the best at absorbing in my opinion, have tries others but i always go back to oxy",2024-03-10
i*****9,They didnt pack it in a box so the packaging is damaged. It good product to help you pop out your pimples hehe,2020-04-27
w*****m,"Effectiveness:good
Skin Suitability:dont know get

the product seems okay with the feedbacks",2024-03-20
n*****7,"Skin Suitability:lap kering² muka,lekat
Effectiveness:berkesan

antara pimple patch yg bagus dan mesra pocket.saya beli ya seller",2023-10-28
wanhz.os,item in good condition . terbaik . tq seller item oke takda rosak nice will repeat soon ! ,2023-08-29
,item received. it's okay wlpun kotak jadi mcm tu. pnghtaran pun ok,2020-07-25
angie_xxi,"Effectiveness:Good
Skin Suitability:Good

Fast delivery & well packed. Item received in good condition as well. Thanks seller",2024-01-31
s*****g,"Skin Suitability:nice..
Effectiveness:nice..

Good product quality... Good packaging.. Fast delivery",2024-03-19
9*****i,"Received in good condition, fast delivery, reasonable price, nice seller",2023-11-25
karenkoo,"GOOD ITEM GOOD PACKING GOOD SERVICE GOOD SELLER ,RESPONSIBLE SELLER ! ......But no really response your message ……",2023-08-31
a*****c,"Skin Suitability:okay
Effectiveness:Okay

Received in good condition and packing well with bubble wrap and fast delivery to customer 
Quality is okay",2023-10-02
v*****5,"Effectiveness:good
Skin Suitability:good

good product quality and good value for money and fast delivery",2023-09-01
tomobear46,"thankiu so much.. good service, good packaging, fast delivery.. i am happy :) 👍⭐️⭐️⭐️⭐️⭐️",2020-10-28
m*****.,"items received👍🏼
great deals🤩 
orders were packed nicely and the items were shipped super fast, delivery was fast as well.
thank you😬
",2023-08-29
d*****a,"Effectiveness:good
Skin Suitability:good

Fast delivery, good packaging. Can repeat buying again from this seller. Tq",2023-09-21
a*****r,"Skin Suitability:Combination
Effectiveness:Good

Thank you seller! very fast delivery and item well received!",2023-08-29
w*****w,"Skin Suitability:good
Effectiveness:good

A lot free gifts and happy with the price, but I don’t know how win for Pandora . Fast delivery",2022-05-02
w*****d,"Effectiveness:kecut jerawat dengan cepat

bungkusan kemas barang baik sampai dengan selamat terbaik punya services",2023-12-27
w*****l,Maaf gmbr ngan video tak berkaitan. Barang sampai cepat & dibalut dgn kemas wlpn kecik je barang👍🏻👍🏻👍🏻👍🏻service tiptop🤯tq dahla murah,2023-08-29
s*****2,Good product good quality good value for money fast delivery excellent service by seller sorry gambar takde kena mengena,2023-08-29
f*****i,Good product and quality. Price very cheap compared to other shops. Fast delivery. Will repurchase soon. ,2023-08-31
maryam.hmz,Very fast delivery and items were securely wrapped and packaged. Will order through this seller again,2020-09-15
7*****b,"Skin Suitability:Okay
Effectiveness:Okay

Received in good condition and packing well before shipping fast delivery",2023-08-31
fiz0621," Good product quality,  Good value for money,  Fast delivery,  Excellent service by seller..",2018-09-07
x*****a,"Effectiveness:good
Skin Suitability:good

good value for money fast delivery good product quality",2023-08-31
n*****e,good price good product good quality good value for money fast delivery,2023-08-29
k*****a,Fast delivery. Good packaging. Received in good condition. Thank you.,2023-08-16
ena41341341,"Fast delivery, safely and nicely packed and delivered. Value buy",2020-12-07
j*****n,"Everything received in good condition, but some abit dirty and the packaging it’s perfect. Also I don’t know why I received an opened parcel, but everything is still inside and everything is wrapped tgt. Exp 2025",2020-11-03
m*****y,"Received this in good condition, this is the best acne patch I try so far , love their delivery service also 👍🏻",2023-11-17
tamilkumaran108,"Effectiveness:it's work
Skin Suitability:good

Worth it for money.. sorry don't have pictures.tq seller..fast delivery.. cheap price ..",2023-12-12
n*****a,"Skin Suitability:ok
Effectiveness:good

Safely arrived and been using it for years and this brand much better than others because I’ve tried more brands before",2023-08-29
j*****n,"got this with cheap price on 12/12 promotion, received on 15 december. product is packed well.",2023-12-15
hasnahyahaya,"Skin Suitability:sesuai
Effectiveness:jerawat cepat kecut

Best sangat guna oxy patch ni bila jerawat timbul cepat kecut. Penghantaran pantas.  Seler terbaik.",2022-09-07
m*****a,"Effectiveness:superb
Skin Suitability:suits my sensitive and oily skin as well

my fav acne patch forever. great service from the seller",2022-05-09
_*****r,Holy grail bought 3 this time really love this secured packaging and fast delivery,2024-02-16
zettyalieya,"Effectiveness:good
Skin Suitability:very suitable

fast delivery and very effective for my skin",2024-02-06
hani_mohammad,Penghantaran cepat.. barang sampai dengan selamat.. sorry gambar dgn video x dak kaitan hehheee.. btw memang berpuas hati...,2023-08-29
fabinspirit,item safely arrived and everything is in very good condition 😬 price is great as well 😍😍,2020-10-28
k*****n,"Good product quality 
Good value for money 
Super fast delivery 
Will repeat order agn 
Thank you",2023-08-29
emma_isha,Barang dah lama sampai..tpi tak sempat nak rate..arini baru sempat..tq seller..penghantaran cepat..pembungkusan kemas..nanti boleh bli lagi..☺️,2022-07-04
t*****h,Received in good condition and packing well with bubble wrap inside the box before shipping,2023-08-29
9*****d,"Skin Suitability:Okay
Effectiveness:Okay

Received in good condition and packing well inside box and quality is okay",2023-08-29
c*****3,"Skin Suitability:good

very recommended , good service , nice , fast delivery thank you!",2023-08-31
t*****h,"Skin Suitability:Okay
Effectiveness:Okay

Received in good condition and packing well with bubble wrap",2023-08-29
a*****a,"Skin Suitability:so good
Effectiveness:yess good product quality . The product arrived exactly sam",2023-08-29
amyysy,"Fast shipping, good packaging, product can really suck out the acne pus overnight",2021-09-06
i*****n,Great product with great quality. Really worth for money. Also good seller.,2023-08-31
a*****a,"Received in good condition..
Good packaging..
Tq seller.. 
will rpt next time.. ",2023-08-29
nadzirahmustakin,Thank you seller. Penghantaran pantas. Harga murah berbanding seller lain 👍🏻👍🏻👍🏻,2023-08-29
amirah.azhar,Item received in very good condition and good service by seller 👍🏻,2019-11-02
s*****h,"the product was bubble wrap nicely, and arrived in good condition",2020-06-24
aqilrazid,"Barang sampai dalam keaadan baik dah selamat,penghantaran laju terima kasih",2023-08-29
gilborowski,"Product arrived fast, seller was friendly and responsive. Works well.",2023-08-31
n*****r,good qualitygood qualitygood qualitygood quality fast delivery too i loike!,2020-08-25
seoulbusan,"Good value for money
Fast delivery
Excellent service by seller",2019-10-06
wahibahzaki,"  Excellent service by seller,Fast delivery and Good value for money",2018-09-03
i*****a,Received in good condition. Product well and function. So beautiful. Delivery also okay. Thanks.,2023-09-01
yayaleo8,All items received in good condition. Just the packaging looks old and a bit dusty. But expiry date is up to 2021 - 2023. So far I’m okay with it 👌🏻,2020-08-27
funcoralcollection,Great to receive a longer expiry date! Receive in good condition.  ,2019-07-08
farah.zzzz,"Effectiveness:good
Skin Suitability:good

Dah tryy…keluarr pus tu cumanya it’s a bit obvious during the day tapi sbb function dia utk night so it acceptable 👍…jangan malu2 beli jee bcs it’s worth it….sorry for the unrelated pic",2023-10-19
n*****1,"Skin Suitability:good
Effectiveness:good

Die kene pakai 2/3kali jgkla nk kasi surot but nice ehh technology skrg sbb skin saya mmg sangat sensitive dan sussoh sngt nk cari skincare, overall naisuu thank you seller!",2023-08-31
mayyee0827,"Delivery quite fast even in the mco period. Delivery use only soft packing make parcel easy to crash, overall products all okay, hope the product suit for my skin.",2020-06-13
m*****o,"Effectiveness:Good

My go-to acne patch every time. Does its work but the result is not instant. Gonna take about 2-3 times of usage to heal acne",2023-08-29
hahahhahshsjjshs,"Skin Suitability:good
Effectiveness:very effective

ACNE PATCH NYA SANGAT BERKESAN
kalau nak beli , beli dkt seller ni sbb yg dkt kedai ni punya original!!!",2023-08-29
fullylurve,"Effectiveness:yes
Skin Suitability:bagus

Thankyou seller nnti nak repeat lagi pghntran laju sangat nanti nak beli lagi",2024-01-10
a*****h,"Skin Suitability:combination
Effectiveness:good

Good product, worked wonders on my skin! Acne has reduced and very recommended",2023-12-16
ai_aishah008,"Effectiveness:First time beli tak tau nk kata apa lagi

Delivery lajuu dan sgt terkejut sampai dlm masa sehari sbb guna shopee express😂",2022-02-08
_*****r,Love this patch got 2 for rm14 on 11.11 in live delivery also fast arrived yesterday,2023-11-15
f*****8,"Items well received, even the items box quite dent.... but im okay, as long as the one inside in good condition TQ",2020-05-04
r*****s,This was the fastest delivery ever! My 2nd order and came in perfect condition 👍🏽,2023-11-26
s*****n,"Skin Suitability:good
Effectiveness:good

Bought during sale much cheaper. Penyelamat jerawat kat muka. Better than others.",2023-10-30
h*****s,"The item receive in a good condition, i really love it cause it cheap. So I really recommend this seller♥︎",2023-08-29
h*****9,"Skin Suitability:oily skin
Effectiveness:very effective

great product and fast shipping :) thank u selleerr",2023-11-04
maisarahamalin6,"Skin Suitability:oke berkesan

Penghantaran laju barang pun okey berkesan by the way sorry gambar dan video tak ada berkenaan",2023-08-29
m*****7,"Effectiveness:good
Skin Suitability:good

So far the best acne patch as compared to other brands. Will def buy again",2023-08-29
n*****a,"Skin Suitability:Good
Effectiveness:Very effective

Very good. Vid and pic are not related.",2023-12-24
asherssins,"Effectiveness:amazing
Skin Suitability:nice

helped me heal and cover my pimples . worked well ^^",2024-02-01
samyangmahal, Good product quality Good value for money Fast delivery Fast delivery Fast delivery Fast delivery Fast delivery,2018-11-16
fykahada,"Skin Suitability:suits my skin
Effectiveness:very good

Gambar tiada kaitan but it works well on my skin.",2023-08-31
nasirhussin,"Skin Suitability:ok
Effectiveness:bagus

Pic dan vedio tiada kena mengena tq saller betul2 berkesan",2023-09-23
h*****6,Barang smpai dalam keadaan elok. Da repeat bnyak kali dngan seller ni. Perkhidmatan mmg tiptop. ,2020-05-20
d*****h,Good product quality Good product quality Good product quality Good product quality Good product quality ,2021-01-28
pamelageh,Product received as described. Works perfectly. Love it! Shipped instantly. Thank you!! 🥰,2020-08-30
a*****_,"Effectiveness:nice
Skin Suitability:nice

Produk memang bagus dan mantap saya memang suka sangat terbaik",2022-10-04
c*****8,"Sorry for unrelevant photos and videos 
Fast delivery 
Good item",2023-08-14
j*****3,love the product! the delivery was also quite quick! thank you!!,2023-08-29
ftn.njiha,good product love it done repeat tq seller fast delivery love,2023-08-29
athirahmodadenan,barang smpi dlm keadaan yang baik.. acne patch paling bestt,2023-05-29
maizura_sentot,Nicee..bila pakai rasa berangin jee..mcm pakai minyak kapak kat bibir..hahahaah..cuma tu lah..seller ship out lambat sgt.,2023-08-29
w*****8,"Skin Suitability:Suitable
Effectiveness:Effective..

Everything is good..but took few days to ship out the items..once poslaju picked up, the items received the next day..",2022-03-31
u*****a,"Skin Suitability:ok
Effectiveness:ok

Hey, this is a story I hate
And telling it might make me break
But I'll tell it anyway
This chapter's about
How you said there was nobody else
Then you got up and went to her house
You guys always left me out
I still have the letter you wrote
When you told me that I was the only girl
You'd ever want",2023-08-29
zarahashim,"Skin Suitability:its okay. Doesnt irritate my skin
Effectiveness:so-so only. If you have deep acne under your skin, it doest do much. 😅

Okay lah. At least they provide a form of protection from the environment and your dirty fingers. But doesn’t really help in extracting the oil and pus.",2023-08-29
5ot_fyfuem,"Effectiveness:Not so sure, but it does absorb oil around the acne
Skin Suitability:Suitable for mixed skin type

The delivery is just okay, took quite some time to deliver it but it's okay. Everything come in perfect without any dented or damage.",2023-11-03
asilah_6,"Skin Suitability:okay
Effectiveness:good

Okay je pakai ni tapi kalau nak improvement jangan pakai pagi petang siang malam. Bagi muka bernafas jugak. Kalau pkai selalu nanti tak nampak result sangat. Menyesal jugak pakai selalu. Ni my exper la",2023-11-25
rabiatuladawiyah_93,"Very poor quality product...

Acne patch yang saya dapat tak boleh guna sebab patch tu mcm melekat teruk dekat plastik die... Mase nk ambik utk guna sangat susah untuk tercabut dari plastik. Mungkin brg ni rosak sbb ia stok yg lame.. 


",2022-10-02
d*****e,Poslaju took about 5days to deliver items. No box and only bubble wrap. Value buy during sales. The box of the acne patch dented all over but luckily item inside is fine. ,2020-10-28
w*****l,"Skin Suitability:good

Sorry gambar dan video tak berkait tapi memang function acne patch ni untuk letak jerawat yang dah masak",2023-12-20
hedayaya_,Pls dont ever buy thissss! It cannot be use. The patch too sticky to the the film. And seller doesnot reply the chat also,2023-08-29
nurashikin99_,condition barang okay .. cuma penghantaran tu lambat macam dari overseas 😅 tapi takpe lah.. asalkan barang sampai dengan selamat.. terima kasihhh! ,2020-11-11
vennieangel,"Skin Suitability:all skin
Effectiveness:ok

gambar vedio tiada kena mengena barang semua ok acne patch ni sangat berguna ketika jerawat timbul",2023-08-29
l*****5,"Skin Suitability:all type acne prone skin
Effectiveness:well function

It sucks the sebum effectively and reduce the scar fast",2022-05-27
,Good product Good productG ood product Good product Good product Good productG ood product Good product,2023-08-29
,"Shipping laju jeeeee cam kilat. Barang smpai cepat, lengkap takde yg kurang. Thank you 😘",2022-03-29
atiqahsafian,"Skin Suitability:Suitable for oily skin

Rasa light dan terasa muka fresh je sepanjang hari",2023-08-29
a*****h,"Effectiveness:sangat berkesan utk muka yg ada jerawat sikit2
Skin Suitability:sesuai dengan kulit muka",2023-08-29
n*****_,Good product tapi kotak kemek nasib baik yang dalam okay je 😁,2023-08-29
cpfen,Got free some samples..got use bubble wrap..delivery time quite fast..,2023-08-29
i*****a,Cepat gila sampai. Securely packed. Thank you seller!!!!!,2023-08-29
s*****h,"Penghantaran cepat...
Original produk...
Tiada kerosakan...",2023-08-29
s*****h,Packaging tip top👍🏻..barang dalam keadaan baik..original produk..,2023-12-14
h*****6,Thanks seller. Received the  item in good condition. Will definitely buy again! More power,2023-08-29
fairuszerb,Alhamdulillah barang dah sampai dgn selamat semua cukup dan baik tq seller bole repeat beli lagi,2023-10-24
x*****s,item arrived safely in good condition! first time trying this night one. hopefully it’s good as the other types :),2023-08-29
s*****9,"Effectiveness:okey
Skin Suitability:sesuai sangat

thankyou seller penghantaran cepat👍🏻👍🏻👍🏻",2023-08-20
n*****z,Goooddddd. Penghantaran pon lajuu. Sale 8.8 murahhh❤️❤️,2023-08-29
z*****h,Fast delivery and good condition. This is my 5th times buy from this seller. I will buy again later. Maybe for 12.12 or YES. Looking forward for your sales and combo prices. ,2023-08-29
najiehah,"Memang sudah banyak kali repeat dengan seller. Penghantaran cepat, pantas dan tepat. Siap dapat free gift lagi tu. Memang akan selalu repeat dengan seller. 👍👍👍👍👍👍",2023-08-29
qznia,"Tried other brands such as dermagel, cosrx, somebymi but this one is the best acne patch so far",2023-08-29
aniep2000,Di antara pokok bahasan utama yang sering dibicarakan oleh pengikut agama ini dan yang menjadi pemikiran dan pusat perhatian mereka serta yang menjadi tujuan terciptanya dan diutusnya para nabi adalah pokok bahasan tentang akhlak yang harus dimilikki oleh orang-orang yang beriman kepada Allah dan Ra,2023-08-29
d*****h,Like this. It comes with its own tweezer so it’s sanitary whenever you want to use. More patches compared to Cosrx. Works well,2023-08-29
l*****r,It been shipped at May 9th and arrived at May 24th . It took so long to arrive but still I'm gonna rate 5 stars . Next time please fix this . Thank you . ,2023-08-29
l*****_,"Skin Suitability:not use yet
Effectiveness:not use yet

Overall okay just service courier so bad,it suppose to delivered to my house yesterday, i tunggu seharian kat rumah sbb takut courier sampai, tup² boleh pulak tak jdi send, so they deliver it today, dalah tak inform tau² je dh depan rumah, i seharian kat luar harini, bengang gak laa dia spam call🤬",2023-08-29
d*****6,"Skin Suitability:acne skin

Acne patch paling favourite... Bagus untuk kecutkan jerawat semalaman",2023-08-21
m*****e,"Skin Suitability:suitable for acne
Effectiveness:good

The only acne patch that im using. Guna bila jerawat pecah sahaja. Really love it 🥰🥰🥰🥰",2023-08-29
a*****n,"Sesuai kalau ada jerawat besar, tampat patch ni cepat je jerawat tu kecut",2023-08-29
n*****r,serious beli time live sangat jimat harga satu rm11+ beli time live dapat rm18+ je tiga tiga!,2023-12-19
n*****y,buy this one during 8.8 and got a good deals! recommended! it help soothe my ache well! 💯,2023-08-17
q*****a,"pernah guna before this, and it works well on me , thank youu ✨",2023-08-31
syirachan,First time purchase this product. Its quite cheap than price in supermarket😍😍😍😍😍😍😍😍.i hope it will suitable with my skin💕💕💕💕💕💕👌👌,2023-08-29
a*****_,Acne patch tu memang best👍👍 Oxy 10 tu baru nak try. Hope okay lah,2023-08-29
cde8_d_jro,"Skin Suitability:✊🏻👍👍👍🏼
Effectiveness:very effective

been using this since a long time, works everytime, worth every penny",2023-08-29
d*****3,"Skin Suitability:baik

belum try lagi tapi ramai recommend kan product ni , harap betul best laa",2023-09-05
l*****e,"Skin Suitability:sensitive skin also can use
Effectiveness:acne pore very fast recover

buy for many times already",2023-08-29
abby.02,"Skin Suitability:all types
Effectiveness:absorb so much

This acne patch very good and so effectives 👍",2023-08-29
s*****9,"Skin Suitability:good. repeat purchase many times
Effectiveness:will purchase again with this.",2023-08-29
q*****o,goof product quality good quality good service fast delivery,2023-08-29
a*****y,"Well packed and received in good condition.
Expired 10/2027.",2023-08-29
syahirahr8888,Item diterima dalam keadaan baik. Nice packaging..terima kasih seller,2023-08-29
3*****f,Fast delivery. Item received in good condition. Thanks seller.,2023-08-16
h*****9,"Trbaik, fast delivery bole repeat order. Thnks seller baik",2023-08-29
m*****8,"Fast delivery service 🚚 
Haven’t try this product before 
Hopes it’s work...",2023-08-29
rosse_ribut,"Received with good conditions.
Ordered packaging with bubble.",2023-08-29
d*****h,"Skin Suitability:dry
Effectiveness:ok

good absorption. nice packaging. thankyou",2024-02-08
_yannn_,Received everything safely. Fast delivery considering eid and stuff. ,2023-08-31
yanamora,"Item received in good condition.... Fast shipping.......
",2023-08-29
y*****g,"Well packed and received in good condition.
Expiry 10/2027",2023-08-29
a*****0,"Good packaging, fast delivery. All items are great 👍",2023-12-18
piaaaaa1,"Product arrive in good condition,, fast delivery,,, thank youu",2023-08-29
muwinner711,Good product quality and fast delivery. Will repeat purchase,2023-12-13
amirazlkfle,safely arrived... thank you... good quality ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,2023-08-31
a*****k,"Everything arrive in good shape, Fast delivery from seller.",2023-11-15
rabiatulhamizah07,"baru sampai penghantaran agak laju, yang nak kecutkan jerawat tu pakai ni",2024-01-04
e*****e,Barang sampai dalam keadaan baik. Ada free gift untuk setiap barang. ,2023-09-01
a*****k,Product arrived in good shape and got bubble wrap. I buy with promotion. Gonna repeat again. Tq.,2023-10-05
nadzirahmustakin,"Dah banyak kali repeat beli kat sini, harga murah berbanding di luar. Terima kasih seller 👍🏻👍🏻👍🏻",2023-08-29
m*****n,order received. packed in box. fast delivery. thank you.,2023-08-29
n*****0,Order 25 and arrived 27. Secured packaging. Thank you so much. Xx,2023-08-29
s*****s,"thank you for the prompt delivery only took 2 days! amazing, thanks",2023-08-29
e*****5,"Fast delivery. First time bought this acne patch, hope it works",2023-08-31
d*****a,"packaging bagus
kuantiti mencukupi
goooooooooodddddddd",2023-08-29
n*****0,Safely arrived dan laju penghantaran. Pembungkusan okay. Terima kasih,2023-08-22
s*****h,Barang ok...tak defect..harga lebih murah daripada kedai..,2024-02-23
nikaishah03,Paling berkesan dah berapa kali dah repeat penghntaran laju thankyou seller ❤️‍🩹,2023-08-29
swikyi,All items arrived safely and in good condition. Thanks seller.,2023-08-31
mai8751,Received my parcel in good conditions. I bought this in case need it in future. Tq seller. ,2020-03-25
,Packaging is so secure and hopefully it'll be useful!! Thank you so much,2023-08-29
n*****0,Arrived safely!!! Always bought with them many times. Thanks <3,2023-08-29
m*****5,Thanks You seller. Penghantaran lajuu. 11.11 order. 13.11 dah sampai. Thanks bg free gift cream mask and oxy cleaning wash. Dah banyak kali repeat dgn seller ni untuk beli hada labo. Mmg jimat dan berbaloi. Expired lambat lg 2025. TERBAIK👍,2023-08-21
i*****h,Item received in good condition..Thank you for the gifts...really love this will repeat order again soon,2023-08-29
a*****_,Item well packed. Will buy it again next time.thank you seller,2023-08-29
y*****8,Good product quality. Thank you seller. Good value for money,2023-08-29
y*****8,Same as what I purchased in store. Good product quality. Thank you seller. ,2023-08-29
y*****8,Purchased with promotional price. Thank you so much seller,2023-08-29
ideena2734,Good 👍🏻 got after 4 days order. This one work much better than cosrx patch so pep should try it. It really suck all the puss out and you can see the differences between before and after. Highly recommended 👍🏻,2023-08-29
y*****8,Good product quality. Thank you seller. Good value for money,2023-08-29
f*****i,Acne patch paling best. Kalau nak murah beli time ada sale. 👍🏻,2023-08-29
hafikajp,Dah biasa guna oxy ni tapi beli dekat shopee harga lagi murah hehe.,2023-12-19
n*****x,"Skin Suitability:All skin
Effectiveness:Good

True true true! Almost invisible. But then i think all pimple patch works the same.",2023-08-30
hawooonis,"Skin Suitability:acne prone

Nice, price ok. Recommendeddddddddddddddddddd",2023-08-29
n*****t,"Effectiveness:Absorb puss effectively
Skin Suitability:Acne prone skin

Good and affordable. Been using it for long time!",2024-02-01
lin9mia8,"Ordered from East Malaysia at 10/10
Received items at 14/10",2023-11-10
c*****2,"Effectiveness:very efficient, 2nd time bought already
Skin Suitability:suitable for all skin especially pimples skin",2023-12-02
m*****e,"Effectiveness:ok

Okay dah biasa guna.. sesuai untuk yg tumbuh jerawat tu.. thanks you",2023-10-24
b*****i,thankyou sellerrrrr best sangat acne patch niiiii kejut jerawattttt ❤️❤️❤️❤️❤️❤️,2023-08-31
f*****k,First time guna acne patch ni mmg berkesan! Pakai malam esok da surut jerawat. Love it!,2023-08-29
a*****i,"Effectiveness:tngok dulu mcm mn sbb first time nk try ☺️
Skin Suitability:ok sesuai dngn kulit sya",2023-08-29
a*****z,Thank you forthe free gifts! Everything received in a good condition! ,2023-08-29
ellianihah,Kotak kemek tapi takpe asalll kan barang okiiiiii 👍🏼👍🏼👍🏼👍🏼👍🏼,2023-08-29
kesi.ng,"The product have little bit kemek 
But the expired date until 2025 
Overall is good",2023-08-29
e*****a,"Dah sampai dgn elok, boleh diguna. Tq
Gambar video tak sempat nak ambik.",2024-03-01
syahirahaina00,"I usually wear the acnes one , but i bought this one this time . Not sure how was it , but im pretty sure its nice . Dont really expect the packaging is like thatt , so securee haha..",2023-12-27
k*****h,"Effectiveness:The patch clear the acne

Always using this acne patch for my pimple.",2023-08-29
m*****e,Bestttt!!!! Sumpah i pakai benda ni byk kali sbb paling berkesan utk jerawat masak. And lpas picit pun boleh pakai bg elakkan bateria merebak.,2023-08-31
kanmani0129,"Effectiveness:Not sure
Skin Suitability:Must be good

My acne burst a day before I receive this parcel. But tq for long expiry date 2028",2024-03-10
e*****l,"Skin Suitability:suitable for acne prone skin

The best way to use it is before any skincare application. So tht the pus will be absorbed more effectively!",2023-08-15
kim___eun___hyun,"Skin Suitability:combination skin
Effectiveness:pop the pimple before applying the acne patch

EXP202805",2023-12-05
_*****x,Bought this during 11.11 sale so it was really worth it! The box received has dented a lil bit but thats okay! Thank youu for the free sampless 🤍,2023-08-29
n*****9,Grab time live boleh dapat harga less than rm10. Much cheaper than drugstore. Absorb acne well 👍,2023-11-22
u*****2,"Bought during 12.12 sales with discount, good value for money. Delivered 6 days after ordering",2023-12-18
hanis_izzati01,Quality product. The patch are non-sticky to their plastics. THANK YOU SELLER! ♥️ ,2023-08-31
arifikhwan31,Dah dapat as per order.okla murah ade voucher.tq seller.good job,2023-10-27
,"Order 6/6

Dapat barang 8/6

Barang okey tak kemek 👍👍👍👍👍",2023-08-31
izzat_hzwn,"Barang diterima.
Kotak besar ✔️
Bubble wrap ✔️

Thanks seller",2021-06-23
b*****s,"Effectiveness:xtau lg
Skin Suitability:hope ok

So far cepat smpai...dpt murah tu yg grab..br nak cuba😍❤⭐✌",2023-10-27
shnuralyiaa,"Skin Suitability:dry skin
Effectiveness:jerawat hilang

Good when i have acne. Dia sedut yg putih2 tu .",2022-06-10
m*****z,good product quality...receoved in good condition..nice packaging,2023-08-29
s*****1,"Effectiveness:good

Works well on acne.",2023-08-29
c*****h,Fast delivery 📦 Long expiry date 👍🏻👍🏻,2023-08-18
r*****r,packaging should improve. other than that all ok,2023-08-29
julailarazali,Good value for money.. Fast delivery...excellent service by seller,2019-09-05
helianthusannuus96,Barang dbungkus dengan sngat baik.  Penghantran yg pantas. ,2020-03-11
e*****a,Barang selamat sampai..bungkusan yabg kemas yaa..harap2 berbaloi laa,2021-09-02
nabilakimi,"Thank you.. barang sampai dalam keadaan yang baik dan boleh pakai..
",2023-09-01
danielled,"Skin Suitability:The patch suits my skin colour, almost transparent.
Effectiveness:Absorbs pimples' pus and oil very well. The pimples will heal right away after applying.",2024-02-20
zulfahanis96,"Suka sgt brand ni. Mmg serap elok.

Amik yg byk dan kecik jadi jimat",2024-01-03
farainani,My holy grail is finally arrived! Received in good condition. Thank you ☺️,2020-06-23
k*****2,"Skin Suitability:Good
Effectiveness:Good

Good, use for overnight",2022-04-22
worksheets,Okay fast delivery...... item received..................,2019-08-15
aanieq,"Mcm biasa . Terbaikk .. 
Fadt delivery.. 
Good value for money .. 
",2023-08-29
frzanaidris,Delivered in good condition. Will repeat order again. Thank you 💕 ,2020-04-06
nurul.asyasyiqin_99,"Skin Suitability:i have dry sensetive skin
Effectiveness:effect

Its really work and have fast delivery..",2023-08-29
happytang922,"Third time purchase from Mentholatum, trusted seller. Before this got free gift, but this time none ,hehehe 😊😊😊😊.. Will continue support you... (unexpected small)",2019-08-05
nabilakimi,Semua Barang sampai dalam keadaan yang elok. Terima kasih.,2023-08-29
n*****3,Selamat sampai. Keep repeating acne mask of this brand. Thanks seller 👍🏻,2023-08-29
nbha.anuar,Okayh barang sampai dah thank you very much. Packaging cantik and secure 🔐 ,2019-09-15
a*****8,Free gift not sent despite added to cart automatically. Disappointed. Promised voucher in lieu not received.,2023-10-02
w*****g,"Skin Suitability:suitable for sensitive skin

use at night, the next day morning can see reduce redness",2023-08-29
qasehqalesya89,"Effectiveness:sesuai untukk kulit sayaa
Skin Suitability:skin semkin elokk

dah 2 kali belii memangg sesuai gila untuk mukaa",2024-02-03
a*****a,"Bought during Anniversary HB for rm11. Items has normal expired.
Ordered on 22/10, items delivered on 23/10, and arrived on 26/10. Courier really took a lot of time.",2023-09-01
j*****1,Could improve on packaging as some boxes were dented. Far dated expiry 2023,2020-06-15
danielled,"Skin Suitability:it is suitable for my skin which is oily skin.
Effectiveness:once placed on my skin, it absorbs the oil and clogs from the pimple. super effective.",2024-02-20
syafiqahazizul,barang dah sampai . Dapat harga tak sampai 1 ringgit pun berbaloi 😍.,2024-03-20
nursuafeminid,Shipping tu try la noh peecptkan lagi... Rasanya bukan masalah courier pon.. Tp apapon thank for good product.. ,2020-09-15
a*****a,So far berkesan lah kat kulit muka. Worth the money. Harapnya mmg betul2 work on skin,2023-08-29
s*****i,"Damaged product disgusting, wouldn't refund without me returning the product. ",2023-09-12
g*****7,"Skin Suitability:all skin type
Effectiveness:very good

Not sure what is the different with night time. But it's ok. Healed acne overnight.",2023-11-15
beeyanleong,Everything in order.  I trust Oxy products. Have yet to use. Tq ,2019-09-23
s*****d,"Skin Suitability:acne prone skin
Effectiveness:reduce the size of acne

I love using this when I have a newborn acne 😁. It reduces the size of the acne and absorb the oil on your skin. Really good.",2023-08-29
y*****n,WEH AHAHAHA ACT DAH SAMPAI LAMA GILA TAPI BARU NAK REVIEW IM SORRYY 😭 bende ni memang berbaloi ye so yeah beli je hahaha,2023-09-01
s*****a,"selalu beli kat kedai je, ni first time beli online. memang oxy je yang dapat kecutkan acne betul2😍",2023-12-13
s*****m,been using this product for some time.. it helps fighting the pimples away 😁,2020-12-09
pikyee20,Item was not received in the best condition even when it is bubble wrapped.,2019-10-31
qiestcalligraphy_,One of the best acne patch I've ever used❤️❤️❤️❤️❤️❤️❤️❤️❤️,2020-07-20
comfort_wheel,ITems reached very fast within 2 days and  slightly cheaper from outside ,2019-07-09
9*****i,"Very good quality, fast delivery, cheaper price, worth it",2023-12-29
98sisi,"Very fast delivery, helpful and responsible seller, cheap price",2023-11-26
_debbiesy," Good product quality
 Fast delivery
 Excellent service by seller",2018-09-15
miszema,Terbaik semua produk .. beli time sale jimat,2023-08-29
h*****n,Received in good condition. Long expiry date. Fast delivery.,2023-10-14
